From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Recycled_Processing/Production_Waste,Asphalt_Gravel,0,2019,England,11,18,0,0,nan,nan
Gravel_pr,Asphalt_Gravel,nan,2019,England,8,18,0,0,nan,nan
Crushed_Rock_pr,Asphalt_Gravel,0,2019,England,9,18,0,0,nan,nan


Processing/Production,Concreting_Crushed_Rock,11888,2019,England,6,15,1,0,7-8-9-10-11-12,nan
Sand_pr,Concreting_Crushed_Rock,0,2019,England,7,15,0,0,nan,nan
Secondary_Aggregates_pr,Concreting_Crushed_Rock,0,2019,England,10,15,0,0,nan,nan
C&D_Waste_pr,Concreting_Crushed_Rock,nan,2019,England,12,15,0,0,nan,nan
Recycled_Processing/Production_Waste,Concreting_Crushed_Rock,0,2019,England,11,15,0,0,nan,nan
Gravel_pr,Concreting_Crushed_Rock,0,2019,England,8,15,0,0,nan,nan
Crushed_Rock_pr,Concreting_Crushed_Rock,nan,2019,England,9,15,0,0,nan,nan


Processing/Production,Asphalt_Crushed_Rock,3771,2019,England,6,19,1,0,7-8-9-10-11-12,nan
Sand_pr,Asphalt_Crushed_Rock,0,2019,England,7,19,0,0,nan,nan
Secondary_Aggregates_pr,Asphalt_Crushed_Rock,0,2019,England,10,19,0,0,nan,nan
C&D_Waste_pr,Asphalt_Crushed_Rock,nan,2019,England,12,19,0,0,nan,nan
Recycled_Processing/Production_Waste,Asphalt_Crushed_Rock,0,2019,England,11,19,0,0,nan,nan
Gravel_pr,Asphalt_Crushed_Rock,0,2019,England,8,19,0,0,nan,nan
Crushed_Rock_pr,Asphalt_Crushed_Rock,nan,2019,England,9,19,0,0,nan,nan


Land_Won_Sand_And_Gravel,Manufacturing,474,2019,England,31,8,1,1,42-43,13-14-15-16-17-18-19-20
Land_Won_Sand,Concreting_Sand,nan,2019,England,42,13,0,0,nan,nan
Land_Won_Sand,Asphalt_Sand,nan,2019,England,42,17,0,0,nan,nan
Land_Won_Sand,Mortar_Sand,nan,2019,England,42,20,0,0,nan,nan
Land_Won_Sand,Concreting_Gravel,0,2019,England,42,14,0,0,nan,nan
Land_Won_Sand,Concreting_Crushed_Rock,0,2019,England,42,15,0,0,nan,nan
