Indexes,flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,prior mean,prior sd
flows[34],8,30,0,0,8-30-0-0,Gravel_pr_Gravel_for_fill,2358.82,916.27,761.473,4075.637,10.55,7.46,7449,8095,1,943,1886
flows[35],8,32,0,0,8-32-0-0,Gravel_pr_Aggregate_use,4698.52,1313.84,2117.626,7183.697,11.27,7.97,13046,8570,1,4324,8648
flows[36],8,33,0,0,8-33-0-0,Gravel_pr_Non-aggregate_use,1701.29,499.8,743.94,2638.899,4.42,3.12,12479,7897,1,1636,3272
flows[37],8,40,0,0,8-40-0-0,Gravel_pr_Scalpings_and_Fines_owp,213.63,90.07,55.765,385.278,1,0.71,7111,7072,1,661,1322
flows[38],8,42,0,0,8-42-0-0,0,6.67,6.01,0.053,1041.385,0.04,0.03,16681,9131,1,#N/A,#N/A
flows[39],8,43,0,0,8-43-0-0,Gravel_pr_Land_Won_Gravel,21.42,8.92,272.536,2210.257,0.12,0.08,5481,8357,1,1993,3986
flows[40],8,44,0,0,8-44-0-0,0,6.78,6.13,0.007,1050.85,0.04,0.03,15383,9077,1,#N/A,#N/A
flows[41],8,45,0,0,8-45-0-0,Gravel_pr_Marine_Dredged_Gravel,12.96,4.79,253.413,1246.65,0.05,0.04,8080,4468,1,854,1708
flows[42],8,46,0,0,8-46-0-0,0,47.71,43.5,0.005,81.685,0.29,0.23,16143,8635,1,#N/A,#N/A
flows[43],9,15,0,0,9-15-0-0,Crushed_Rock_pr_Concreting_Crushed_Rock,8529.86,1275.45,6119.456,10845.935,10.62,7.55,14446,14099,1,8440,16880
flows[44],9,19,0,0,9-19-0-0,Crushed_Rock_pr_Asphalt_Crushed_Rock,2679.72,397.69,1927.616,3432.108,3.45,2.44,13246,13774,1,2677,5354
flows[45],9,24,0,0,9-24-0-0,0,360.24,280.31,0.036,872.39,2.09,1.48,14436,9930,1,#N/A,#N/A
flows[46],9,31,0,0,9-31-0-0,Crushed_Rock_pr_Crushed_Rock_for_fill,6880.03,3519.83,828.642,13135.594,37.65,26.63,7742,7294,1,3040,6080
flows[47],9,32,0,0,9-32-0-0,Crushed_Rock_pr_Aggregate_use,13994.77,2396.83,9661.046,18656.611,21.26,15.04,12639,12871,1,13475,26950
flows[48],9,33,0,0,9-33-0-0,Crushed_Rock_pr_Non-aggregate_use,5221.55,904.35,3602.906,6931.657,8.7,6.15,10712,10810,1,5098,10196
